label,lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,lm_63,lm_64,lm_65,lm_66,lm_67,lm_68,lm_69,lm_70,lm_71,lm_72,lm_73,lm_74,lm_75,lm_76,lm_77,lm_78,lm_79,lm_80,lm_81,lm_82,lm_83
A,0.5496714,0.48617357,0.56476885,0.652303,0.47658467,0.4765863,0.6579213,0.5767435,0.45305255,0.554256,0.45365822,0.45342702,0.5241962,0.30867195,0.3275082,0.44377124,0.3987169,0.53142476,0.4091976,0.35876963,0.6465649,0.47742236,0.50675285,0.35752517,0.44556174,0.51109225,0.38490063,0.5375698,0.43993613,0.47083062,0.43982935,0.6852278,0.49865028,0.3942289,0.58225447,0.37791562,0.52088636,0.30403298,0.3671814,0.5196861,0.57384664,0.5171368,0.48843518,0.46988964,0.35214782,0.4280156,0.45393613,0.60571223,0.53436184,0.32369596,0.5324084,0.46149176,0.43230778,0.5611676,0.60309994,0.593128,0.41607824,0.46907875,0.53312635,0.5975545,0.45208257,0.4814341,0.3893665,0.38037935,0.5812526,0.635624,0.49279898,0.6003533,0.5361636,0.43548802,0.53613955,0.65380365,0.4964174,0.65646434,0.23802549,0.5821903,0.5087047,0.47009927,0.5091761,0.30124313,0.4780328,0.5357112,0.6477894,0.448173
A,0.41915065,0.4498243,0.5915402,0.5328751,0.447024,0.55132675,0.50970775,0.5968645,0.4297947,0.46723378,0.46078917,0.35364848,0.529612,0.5261055,0.50051135,0.47654128,0.35846293,0.45793545,0.46572855,0.41977227,0.48387143,0.5404051,0.6886186,0.5174578,0.52575505,0.4925554,0.30812287,0.4973486,0.50602305,0.7463242,0.4807639,0.5301547,0.49652883,0.3831322,0.6142823,0.5751933,0.5791032,0.40906125,0.6402794,0.35981488,0.5586857,0.7190456,0.40094638,0.44337022,0.5099651,0.44965243,0.34493363,0.5068563,0.39376962,0.5473592,0.40805757,0.6549934,0.42167467,0.46779385,0.5813517,0.37691358,0.52274597,0.6307143,0.33925167,0.5184634,0.5259883,0.5781823,0.37630492,0.3679543,0.5521942,0.5296985,0.52504927,0.53464484,0.43199754,0.52322537,0.52930725,0.42856485,0.68657744,0.5473833,0.38086966,0.56565535,0.40253183,0.57870847,0.61585957,0.41793177,0.5963376,0.5412781,0.582206,0.6896793
A,0.47546118,0.42462638,0.41104856,0.41841897,0.49228984,0.5341152,0.5276691,0.5827183,0.5013002,0.64535344,0.47353432,0.7720169,0.56256676,0.41428423,0.39291075,0.5482472,0.4776537,0.57140005,0.54732376,0.49271712,0.41532063,0.34851527,0.4553485,0.5856399,0.5214094,0.3754261,0.51731807,0.5385317,0.41161424,0.5153725,0.5058209,0.38570297,0.53577876,0.55607843,0.6083051,0.6053802,0.36223304,0.4062175,0.55150354,0.5513786,0.5515048,0.88527316,0.55708903,0.61355656,0.59540015,0.5651391,0.46847308,0.5758969,0.42271748,0.47631815,0.45146364,0.5081874,0.7314659,0.3132735,0.56862605,0.33872843,0.4528068,0.60889506,0.506428,0.39222553,0.42846963,0.5679598,0.42696333,0.52164584,0.5045572,0.43483996,0.7143944,0.5633919,0.2974857,0.5186454,0.43382135,0.58524334,0.42074794,0.48852634,0.5504987,0.5865755,0.37997037,0.46654987,0.45250547,0.43466708,0.67654544,0.5404982,0.37391162,0.5917862
A,0.7122156,0.6032465,0.348063,0.4515766,0.6266911,0.42923304,0.5443819,0.5774634,0.40730694,0.49404746,0.17587325,0.39756125,0.4747432,0.37522167,0.66324115,0.35698587,0.45599556,0.51307404,0.64412737,0.35641378,0.6163164,0.5010233,0.40184912,0.54621035,0.519906,0.4399783,0.5069802,0.46146864,0.5113517,0.5662131,0.6586017,0.37621844,0.7133033,0.3047912,0.4848215,0.5588317,0.5280992,0.43773004,0.4791878,0.4506999,0.44106352,0.5849602,0.5357016,0.43070903,0.58996,0.53072995,0.5812862,0.5629629,0.4171005,0.4439819,0.5747294,0.561037,0.49790984,0.51173276,0.6277665,0.44084287,0.55470973,0.47978073,0.47823188,0.6098777,0.58254164,0.581351,0.6305479,0.5021004,0.5681953,0.46897334,0.53241664,0.48698568,0.5096996,0.5595157,0.41817793,0.7092387,0.39939827,0.37858114,0.6158111,0.5791663,0.56241196,0.56283456,0.49877533,0.41027457,0.50758046,0.43228382,0.59751195,0.48529425
A,0.41745028,0.4678614,0.54129314,0.44362754,0.41777796,0.5243687,0.5244967,0.44930568,0.45289618,0.523205,0.35519156,0.35925362,0.42815557,0.47865528,0.53109074,0.6475356,0.58576596,0.48400614,0.49809837,0.39974707,0.49814868,0.47113413,0.53227186,0.41727692,0.55193466,0.6532739,0.489124,0.54017115,0.56901443,0.45987797,0.52240926,0.50125927,0.5097676,0.42269903,0.502451,0.5497998,0.64511436,0.59592706,0.71531826,0.42326525,0.58723205,0.5183342,0.7189803,0.41917017,0.4160278,0.44006073,0.2876104,0.4474245,0.42408672,0.5150394,0.5341756,0.68761706,0.5950424,0.44230965,0.41015851,0.5491919,0.36797667,0.6831459,0.617944,0.45308244,0.32868654,0.63538724,0.488546,0.6237816,0.34055722,0.4400625,0.50052434,0.50469804,0.45499346,0.562285,0.39323795,0.48576206,0.5120296,0.5514439,0.5711615,0.38753578,0.34658858,0.6277677,0.5332314,0.42515135,0.6551152,0.5115675,0.6179297,0.50675184
A,0.7060748,0.67553407,0.4751036,0.5971571,0.5645376,0.6368632,0.40350765,0.5686051,0.6058425,0.32412606,0.38167414,0.29607677,0.47305933,0.5717542,0.6502357,0.50740945,0.6628616,0.36198986,0.32966173,0.49444523,0.53840655,0.49673054,0.29325578,0.491088,0.36955303,0.56696725,0.53665984,0.40601203,0.44861332,0.39407864,0.4937321,0.59551424,0.4014274,0.55040467,0.44697425,0.4207127,0.48929697,0.39647576,0.44463506,0.38021222,0.6964725,0.50352633,0.43002746,0.521398,0.4887672,0.47790304,0.5614167,0.57575077,0.4469499,0.4424182,0.47249484,0.26980788,0.34848088,0.6366874,0.6644968,0.4750964,0.5576557,0.531125,0.8078881,0.6119575,0.48720825,0.40444595,0.33935535,0.52034634,0.42436492,0.35777462,0.4353427,0.3918452,0.66871417,0.588164,0.49920273,0.6479944,0.5077368,0.4138716,0.6523124,0.553891,0.3962754,0.48096612,0.41243815,0.36172003,0.59261775,0.6909417,0.36014324,0.55629694
A,0.43493575,0.45128745,0.4407606,0.41360092,0.5048522,0.416905,0.52704567,0.4949762,0.47610518,0.40924364,0.44232288,0.5755391,0.55009174,0.40224448,0.50993323,0.5751387,0.3330595,0.554336,0.43373764,0.5570599,0.42367408,0.31951177,0.33724576,0.5048085,0.52597225,0.40956834,0.5638592,0.333848,0.49339202,0.37889838,0.4348164,0.5047399,0.41395867,0.46154445,0.60062927,0.4423108,0.5835692,0.38702932,0.5529804,0.6441569,0.25283557,0.42031047,0.5577072,0.47969547,0.53711456,0.43960148,0.508659,0.48443228,0.6167782,0.52544206,0.53376025,0.4588123,0.45123938,0.4567442,0.5394452,0.45790154,0.5289775,0.7075401,0.5871125,0.46739766,0.6201214,0.45919245,0.29618752,0.39919138,0.3129208,0.46484864,0.50184184,0.6676437,0.53269273,0.47808996,0.5829406,0.27888644,0.5235615,0.5770865,0.35214138,0.6143754,0.53384966,0.4584712,0.5632782,0.72706926,0.5181866,0.52482206,0.45406392,0.41501555
A,0.58303356,0.4143916,0.5071566,0.45223427,0.547898,0.5333662,0.603754,0.44899836,0.4730125,0.40212363,0.45557067,0.53773004,0.57569885,0.40778345,0.5869606,0.6355638,0.5413435,0.6876796,0.42262107,0.37553453,0.32212797,0.64960444,0.56543654,0.49444154,0.52799684,0.3874511,0.7445752,0.5129221,0.5109395,0.57257664,0.54810095,0.5223884,0.42095256,0.54714686,0.68820244,0.634542,0.6593187,0.44887844,0.4010395,0.4874213,0.5055725,0.60941917,0.33075354,0.65295506,0.4841992,0.4573119,0.39878955,0.33451432,0.58231705,0.5073318,0.37100393,0.3704921,0.46642154,0.6669022,0.47404087,0.3496857,0.4754257,0.47272766,0.23031133,0.49457052,0.47690654,0.5696206,0.68489563,0.6126565,0.47311112,0.3893474,0.757336,0.50592184,0.5013929,0.4975875,0.5198085,0.48556396,0.4426338,0.4453141,0.49672467,0.44565752,0.4287154,0.510643,0.47450227,0.6503993,0.23490301,0.6091507,0.6246085,0.29266095
A,0.46573123,0.4628559,0.35924882,0.42221832,0.38894242,0.67522705,0.59356785,0.62715554,0.5721672,0.38709483,0.44754797,0.54893744,0.37778723,0.57129985,0.47596747,0.46251792,0.571096,0.5444263,0.46390337,0.615933,0.39189368,0.56159353,0.55931014,0.46904534,0.5326133,0.37488866,0.5924027,0.48150977,0.4477277,0.6049009,0.42956564,0.35915387,0.34433708,0.560601,0.37195706,0.6754794,0.29180706,0.66964567,0.5211018,0.4903287,0.4455081,0.5399136,0.49623653,0.61033016,0.51142275,0.51503015,0.46363878,0.49430543,0.5307802,0.32898316,0.36518145,0.5743264,0.51708657,0.48160166,0.5018434,0.53475815,0.44602403,0.42216954,0.51958454,0.40216273,0.54082525,0.32974166,0.6029156,0.54725975,0.525603,0.5982691,0.6665474,0.60143703,0.31591257,0.3720423,0.43751815,0.50260913,0.5517659,0.42742562,0.5186767,0.4244617,0.43884823,0.35933387,0.40767667,0.36483154,0.40241268,0.6053642,0.4050601,0.7632382
A,0.5493318,0.51848364,0.41416422,0.570031,0.44243622,0.51220095,0.7560085,0.490394,0.61492735,0.42968234,0.49650115,0.67708004,0.4373033,0.68124485,0.5707752,0.44375333,0.56324077,0.59725547,0.562181,0.34297752,0.42728627,0.47524813,0.49255666,0.5620672,0.5177701,0.36646557,0.5380198,0.5610586,0.555979,0.60807806,0.5833922,0.545918,0.49298343,0.3339039,0.54296184,0.52076876,0.5271579,0.37232512,0.39189434,0.60531527,0.4960445,0.56815004,0.5028318,0.50297564,0.5938284,0.44839552,0.5096121,0.4537725,0.4565504,0.46908277,0.5222134,0.45212513,0.6255756,0.41053927,0.48131284,0.45602688,0.6446978,0.51965547,0.60318446,0.35144395,0.526705,0.5889631,0.5082284,0.606548,0.44827116,0.64093477,0.7298898,0.46371615,0.45544976,0.6453385,0.6579572,0.447714,0.45798132,0.47182155,0.36555493,0.40813482,0.39958593,0.42322025,0.49653152,0.52342147,0.65505004,0.4001646,0.59843224,0.47860113
